[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M4, Status=RUNNING, Temp= 43, Pressure= 90-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M06, Status=RUNNING, Temp= 41, Pressure= 88-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M06, Status=RUNNING, Temp= 46, Pressure= 83-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M2, Status=RUNNING, Temp= 40, Pressure= 87-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M3, Status=RUNNING, Temp= 49, Pressure= 86-> CRITICAL Temperature Alarm
