[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:05] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 55-> Machine Stopped
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:15] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 70-> Temperature Alarm
[08:20] Machine= M05, Status=STOPPED, Temp= 25, Pressure= 80-> Machine Stopped
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:05] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 55-> Machine Stopped
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:15] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 70-> Temperature Alarm
[08:20] Machine= M05, Status=STOPPED, Temp= 25, Pressure= 80-> Machine Stopped
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:05] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 55-> Machine Stopped
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:15] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 70-> Temperature Alarm
[08:20] Machine= M05, Status=STOPPED, Temp= 25, Pressure= 80-> Machine Stopped
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:05] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 55-> Machine Stopped
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
